group,rel_month,index_mean,n_areas,n_trades
control,-24,77.35867419497583,4,78
control,-23,80.34946728207824,5,143
control,-22,74.30965637937996,5,274
control,-21,81.96473438196873,5,186
control,-20,89.38635411142761,5,139
control,-19,79.1390982268136,5,141
control,-18,85.42872283064403,5,129
control,-17,81.02927298259245,5,113
control,-16,78.55338638571376,5,100
control,-15,77.58719523594995,5,146
control,-14,84.95464545378513,5,139
control,-13,80.24838563972278,5,98
control,-12,85.08863700769732,5,146
control,-11,82.94800570841146,5,167
control,-10,84.88647085436324,5,161
control,-9,91.08673777568718,5,139
control,-8,84.17392827830224,5,241
control,-7,86.80460194254897,5,272
control,-6,87.41851719360078,5,208
control,-5,92.11506746167257,8,395
control,-4,96.49836262633998,8,395
control,-3,100.1585704599377,8,392
control,-2,103.13344294175884,8,425
control,-1,92.00217935745029,8,440
control,0,100.0,9,703
control,1,102.02254073226159,9,615
control,2,100.25578066864045,9,462
control,3,103.02145205443668,9,464
control,4,104.62591499441068,9,443
control,5,104.0441987251581,9,298
control,6,107.7791429276641,9,271
control,7,109.95735431888512,9,309
control,8,111.62980135767275,9,375
control,9,107.78920921718681,9,413
control,10,107.5431669952159,9,397
control,11,110.45106896085761,9,542
control,12,107.46225947540604,9,463
control,13,109.0783431330286,8,603
control,14,105.32233030524392,8,303
control,15,114.94220513483003,8,330
control,16,114.32521205484622,8,409
control,17,113.07517603985443,8,438
control,18,120.87799420507869,8,448
control,19,116.59309233216138,9,690
control,20,112.21325974605226,9,532
control,21,117.91087751867953,9,701
control,22,123.79671153496464,9,502
control,23,119.4016281645192,9,546
control,24,119.48171648984902,9,626
control,25,125.27683071495302,9,521
control,26,118.93212774268288,9,825
control,27,123.98864698853691,9,529
control,28,120.75514429140088,9,371
control,29,121.99427400186869,9,292
control,30,118.0731081054847,9,316
control,31,124.57559203461966,9,370
control,32,127.5712486553866,9,319
control,33,130.2508153331581,9,401
control,34,132.76269603831824,9,403
control,35,135.71131931468054,9,660
control,36,135.56164928786364,9,645
treated,-24,74.97099504868551,3,8
treated,-23,86.17303268482254,2,10
treated,-22,77.06861255744165,4,16
treated,-21,72.87895123954073,5,29
treated,-20,77.45719879810135,3,32
treated,-19,77.35063940076238,4,30
treated,-18,88.57293367333115,1,26
treated,-17,75.88685092002045,3,9
treated,-16,87.41555492930237,2,11
treated,-15,84.52838367151489,4,23
treated,-14,89.85627924788577,3,13
treated,-13,80.86465333569731,3,12
treated,-12,75.78579297490076,3,16
treated,-11,74.83830921114837,3,13
treated,-10,91.27356406801407,4,21
treated,-9,88.15891962749532,2,3
treated,-8,94.07142837303458,3,23
treated,-7,95.91644747442105,3,20
treated,-6,96.86090044780094,2,36
treated,-5,92.01183117403639,5,20
treated,-4,104.65304744262042,5,15
treated,-3,99.0554931399564,6,22
treated,-2,104.21137705784625,5,13
treated,-1,98.46131069794541,6,9
treated,0,100.0,3,33
treated,1,106.72029581852325,6,17
treated,2,100.20577857343098,6,10
treated,3,106.83728462505083,6,25
treated,4,119.75880994089587,5,16
treated,5,123.18880478987985,5,18
treated,6,108.59655569440713,5,23
treated,7,112.20493741361938,7,17
treated,8,123.42591242574302,6,39
treated,9,133.12308163669758,5,33
treated,10,134.39247169298415,5,30
treated,11,115.8244525842752,4,24
treated,12,133.91626529786234,6,27
treated,13,108.73844823665846,5,24
treated,14,117.44571290907916,5,11
treated,15,127.52297817244286,5,8
treated,16,132.33032470472492,4,14
treated,17,124.60494065275535,4,27
treated,18,126.71010507948904,4,21
treated,19,120.89281432330041,4,20
treated,20,115.45322722535587,4,9
treated,21,124.00575319703064,5,13
treated,22,134.46653020857408,6,19
treated,23,151.9166810787645,4,13
treated,24,138.13016920136573,4,21
treated,25,124.29014339643057,7,19
treated,26,137.00894027845962,5,28
treated,27,142.65931339032917,5,16
treated,28,127.49876108299812,4,17
treated,29,156.44783586122,4,18
treated,30,150.80507087929686,3,6
treated,31,140.8303384571381,5,9
treated,32,146.9934339129738,6,14
treated,33,150.60345457190292,6,11
treated,34,136.08236394201757,3,10
treated,35,123.50461829213445,4,21
treated,36,133.7084003513567,6,15
