ym,dist_band,median_ppp,mean_ppp,n_trades,ym_date
2016-01,0-500m,2112.4382736701236,2058.3442461105656,11,2016-01-01
2016-01,1000-2000m,2139.8672334499624,2527.354797835746,228,2016-01-01
2016-01,2000m+,2019.2887199674221,2293.848947058103,339,2016-01-01
2016-01,500-1000m,1813.7704812834224,1987.4787850019086,81,2016-01-01
2016-01,unknown,3110.2956989247314,3775.814219348169,141,2016-01-01
2016-02,0-500m,1712.4948197264816,2044.663471452963,13,2016-02-01
2016-02,1000-2000m,2068.5709453745985,2506.1902330930297,243,2016-02-01
2016-02,2000m+,2028.2772951323677,2333.726586904978,362,2016-02-01
2016-02,500-1000m,1842.82950310559,1964.7603664443207,81,2016-02-01
2016-02,unknown,3510.5840707964603,4076.200467865074,149,2016-02-01
2016-03,0-500m,2006.2302616073532,2042.1739613937552,23,2016-03-01
2016-03,1000-2000m,2464.1222780569515,2727.8681697112397,431,2016-03-01
2016-03,2000m+,2029.586920253587,2399.9736724105232,613,2016-03-01
2016-03,500-1000m,1811.6999164578112,2135.582207041317,153,2016-03-01
2016-03,unknown,4074.7648631149914,4401.445482093368,368,2016-03-01
2016-04,0-500m,1914.573465883465,1947.7920086258557,24,2016-04-01
2016-04,1000-2000m,3157.5205218735114,3033.239124768866,678,2016-04-01
2016-04,2000m+,2186.189094632648,2593.409030529645,741,2016-04-01
2016-04,500-1000m,2013.0413747080415,2264.750806322731,181,2016-04-01
2016-04,unknown,3469.0493827160494,4093.3081318162053,455,2016-04-01
2016-05,0-500m,2101.378387420542,2222.609658374481,23,2016-05-01
2016-05,1000-2000m,2906.004838390786,2970.928823757843,646,2016-05-01
2016-05,2000m+,2261.2550775392156,2658.1245259590164,750,2016-05-01
2016-05,500-1000m,1861.6545711592837,2088.6038930381656,201,2016-05-01
2016-05,unknown,3471.413248494224,4108.667198489917,350,2016-05-01
2016-06,0-500m,1985.7039884670835,1998.4695914831218,37,2016-06-01
2016-06,1000-2000m,2552.816552699835,2889.6668703736364,693,2016-06-01
2016-06,2000m+,2076.8587652531114,2450.3251444638704,909,2016-06-01
2016-06,500-1000m,1916.6459482038429,2155.796407682348,255,2016-06-01
2016-06,unknown,3772.8375780874585,4413.0437296323025,337,2016-06-01
2016-07,0-500m,1990.4465629703964,2254.874860881825,25,2016-07-01
2016-07,1000-2000m,2210.8729541975745,2640.0738608714637,601,2016-07-01
2016-07,2000m+,2069.8884335154826,2405.61152836136,713,2016-07-01
2016-07,500-1000m,1861.6545711592837,2012.1682791049116,223,2016-07-01
2016-07,unknown,3582.1731823277373,4231.604077593068,250,2016-07-01
2016-08,0-500m,2025.418068236425,1979.1588587536446,22,2016-08-01
2016-08,1000-2000m,2484.5870144593673,2903.8160585143128,606,2016-08-01
2016-08,2000m+,2138.924998879897,2502.6226907125756,714,2016-08-01
2016-08,500-1000m,1863.384267102528,2060.0385010484765,278,2016-08-01
2016-08,unknown,4173.330585739899,4704.74031478635,294,2016-08-01
2016-09,0-500m,2156.677818668451,2423.537921141827,33,2016-09-01
2016-09,1000-2000m,2482.836845116901,2873.2940974929234,642,2016-09-01
2016-09,2000m+,2158.800593323145,2524.0738636834976,790,2016-09-01
2016-09,500-1000m,1888.9172950047127,2138.6427953662865,235,2016-09-01
2016-09,unknown,3989.0957515069626,4609.394894904242,208,2016-09-01
2016-10,0-500m,2113.835488844461,2244.7989247558967,34,2016-10-01
2016-10,1000-2000m,2321.4887640449438,2795.0048694985376,553,2016-10-01
2016-10,2000m+,2174.662482346561,2517.74426288123,770,2016-10-01
2016-10,500-1000m,1907.0055181407597,2100.1168945851705,224,2016-10-01
2016-10,unknown,3965.1225042053684,4506.730611348097,203,2016-10-01
2016-11,0-500m,2271.597678662538,2343.3835535600333,22,2016-11-01
2016-11,1000-2000m,2193.7964860760385,2571.7141380475127,246,2016-11-01
2016-11,2000m+,2094.3715153681746,2325.252974289547,354,2016-11-01
2016-11,500-1000m,1919.905032708891,2112.897578442372,86,2016-11-01
