ym,median_ppp,mean_ppp,n_trades,ym_date
2016-01,2201.642641775269,2587.336325224637,800,2016-01-01
2016-02,2150.81528647106,2649.638367481112,848,2016-02-01
2016-03,2419.053408832177,2922.1291300585217,1588,2016-03-01
2016-04,2862.164502164502,3029.0400780873338,2079,2016-04-01
2016-05,2636.6918930564234,2955.216415599789,1970,2016-05-01
2016-06,2344.539007092199,2842.1120095098827,2231,2016-06-01
2016-07,2190.276336170751,2684.8078516921123,1812,2016-07-01
2016-08,2308.1899455444063,2897.602394649789,1914,2016-08-01
2016-09,2261.368818181025,2819.6986946274947,1908,2016-09-01
2016-10,2246.312901963268,2772.3746845200008,1784,2016-10-01
2016-11,2150.5621351125938,2506.664478564713,767,2016-11-01
2016-12,2321.3776675632253,2937.25682818806,554,2016-12-01
2017-01,2295.1541539185687,2929.489895972074,583,2017-01-01
2017-02,2477.8924947398773,3115.2245848646858,1058,2017-02-01
2017-03,2483.074611917877,3028.168375247825,1603,2017-03-01
2017-04,2633.923311193802,3114.303379671628,1926,2017-04-01
2017-05,2609.2838502673794,3242.9304342394557,3039,2017-05-01
2017-06,2421.0499188907443,3006.019698810268,2022,2017-06-01
2017-07,2674.7276744123697,3308.764860593432,2526,2017-07-01
2017-08,2371.613317240805,2881.292914115346,760,2017-08-01
2017-09,2670.3507750174417,3229.677133103686,1218,2017-09-01
2017-10,2651.5665411687673,3254.321396087205,1179,2017-10-01
2017-11,3024.4070096808064,3533.819471305587,1524,2017-11-01
2017-12,2884.488971317719,3513.21281724739,1692,2017-12-01
2018-01,2651.9138207655287,3287.580177800473,2639,2018-01-01
2018-02,2432.703961525479,2946.203153221826,1598,2018-02-01
2018-03,2462.6829146256737,3030.918631361134,1640,2018-03-01
2018-04,2473.727891156462,3061.424384993225,767,2018-04-01
2018-05,2493.787720561645,3040.52581397153,824,2018-05-01
2018-06,2560.0026455072784,3065.629268477389,874,2018-06-01
2018-07,2907.7270287819147,3556.258346586537,1356,2018-07-01
2018-08,2989.3084349619567,3697.786006237322,2496,2018-08-01
2018-09,2992.247707951325,3669.9412381025027,1037,2018-09-01
2018-10,2808.0892966776746,3412.141313079846,540,2018-10-01
2018-11,2870.9374201787996,3510.1182251251116,257,2018-11-01
2018-12,2662.950259786787,3245.254074397927,222,2018-12-01
2019-01,2860.8134686492017,3453.593152561152,301,2019-01-01
2019-02,2731.4125325743557,3361.2126960281053,252,2019-02-01
2019-03,3281.5331998665333,3986.4511184984494,395,2019-03-01
2019-04,3483.122605363985,4163.9480346295295,643,2019-04-01
2019-05,3608.8440257215493,4418.386686338526,990,2019-05-01
2019-06,3671.2159976236253,4353.229710085144,1428,2019-06-01
2019-07,3369.7256783090997,4075.269787943822,1899,2019-07-01
2019-08,3165.075808409977,3797.1284320744617,1274,2019-08-01
2019-09,3458.05388320289,4225.659048539506,1439,2019-09-01
2019-10,3391.4021877677615,4035.136939219514,2398,2019-10-01
2019-11,3305.910197006567,3948.4503081125026,2340,2019-11-01
2019-12,3140.8959479833156,3697.4194134798063,1866,2019-12-01
2020-01,2931.7133735367156,3263.9102493297255,1375,2020-01-01
2020-02,3107.616175948918,3508.4591943658224,1655,2020-02-01
2020-03,3121.189669629381,3608.6010030924613,789,2020-03-01
2020-04,3320.4612207965824,3946.993687373904,576,2020-04-01
2020-05,3550.370219554705,4145.540669212342,1222,2020-05-01
2020-06,3613.0040611562354,4169.138733941581,3313,2020-06-01
2020-07,3627.8396914642562,4107.873457057809,2090,2020-07-01
2020-08,3818.3376959044454,4487.09736369187,1110,2020-08-01
2020-09,4102.362836406483,4749.64892654208,823,2020-09-01
2020-10,4057.042912005343,4657.178771964422,885,2020-10-01
2020-11,4445.778418954936,5180.45895943146,1375,2020-11-01
2020-12,4521.460614545706,5195.990579998822,1630,2020-12-01
2021-01,4357.928436911488,5076.388788026614,1343,2021-01-01
2021-02,4449.359563920232,5191.591653773903,827,2021-02-01
2021-03,4187.486249541652,4808.148196575259,861,2021-03-01
2021-04,4564.977276338788,5340.5268860625565,816,2021-04-01
2021-05,4376.380084819129,5096.506313728327,996,2021-05-01
2021-06,4428.399196249164,5075.845983036209,841,2021-06-01
2021-07,4497.1628176301165,5197.097731680819,984,2021-07-01
2021-08,4473.766381364312,5039.9398301098845,842,2021-08-01
2021-09,4718.115121490918,5393.698369219848,535,2021-09-01
2021-10,4673.0592531511365,5397.862779683107,465,2021-10-01
2021-11,4490.256975036711,5280.680324665056,301,2021-11-01
2021-12,4590.848534776981,5443.372249173891,237,2021-12-01
2022-01,4907.701816927403,5610.0309600855635,174,2022-01-01
2022-02,4296.468299084608,5165.19957952136,184,2022-02-01
2022-03,4557.913949904283,5383.619086182145,300,2022-03-01
2022-04,4762.8734346656565,5585.177722732958,420,2022-04-01
2022-05,4499.014755184761,5349.9407993333125,354,2022-05-01
2022-06,4824.13425547901,5602.070443895397,192,2022-06-01
2022-07,4619.316126911064,5533.623785385066,117,2022-07-01
2022-08,3919.196413897988,4940.870204775437,130,2022-08-01
2022-09,4190.619340818544,5064.280091233101,101,2022-09-01
2022-10,3772.4914930699647,4528.5857533454255,99,2022-10-01
2022-11,4071.5404240344856,5016.729401580946,103,2022-11-01
2022-12,4110.420048962762,4847.203794581695,125,2022-12-01
2023-01,4155.998563218391,5125.2801340074775,275,2023-01-01
