# 시간당 명목임금 월별 — KOSIS 사업체노동력조사(임금총액/근로시간). 2011~2019=구계열(9차분류), 2020~=신계열(10차분류): 2020 개편으로 수준 단절 있음
month,hourly_wage_won
2011-01,15266
2011-02,16561
2011-03,13652
2011-04,13784
2011-05,13858
2011-06,14241
2011-07,14771
2011-08,14995
2011-09,16032
2011-10,14751
2011-11,13190
2011-12,16380
2012-01,17991
2012-02,14941
2012-03,14876
2012-04,15128
2012-05,14165
2012-06,15717
2012-07,15207
2012-08,15117
2012-09,17851
2012-10,15196
2012-11,13852
2012-12,18745
2013-01,15772
2013-02,18918
2013-03,16143
2013-04,15006
2013-05,14865
2013-06,16929
2013-07,15430
2013-08,16159
2013-09,19929
2013-10,15622
2013-11,14930
2013-12,18423
2014-01,19721
2014-02,16835
2014-03,16123
2014-04,15494
2014-05,16376
2014-06,17123
2014-07,15750
2014-08,17637
2014-09,18736
2014-10,16343
2014-11,16204
2014-12,18297
2015-01,17333
2015-02,21803
2015-03,16050
2015-04,15820
2015-05,17526
2015-06,16317
2015-07,16272
2015-08,17554
2015-09,19362
2015-10,16551
2015-11,16175
2015-12,19482
2016-01,19122
2016-02,22166
2016-03,16682
2016-04,17367
2016-05,17022
2016-06,17398
2016-07,17995
2016-08,17622
2016-09,21011
2016-10,18005
2016-11,16452
2016-12,19985
2017-01,22641
2017-02,18732
2017-03,17529
2017-04,18437
2017-05,18427
2017-06,18200
2017-07,18817
2017-08,18089
2017-09,20388
2017-10,21745
2017-11,17076
2017-12,22055
2018-01,20733
2018-02,25442
2018-03,19463
2018-04,18877
2018-05,19072
2018-06,20408
2018-07,19682
2018-08,19217
2018-09,25128
2018-10,18973
2018-11,17905
2018-12,23652
2019-01,22766
2019-02,25955
2019-03,21058
2019-04,19146
2019-05,19375
2019-06,21424
2019-07,19737
2019-08,20841
2019-09,24623
2019-10,20090
2019-11,19351
2019-12,23592
2020-01,25964
2020-02,21664
2020-03,20600
2020-04,21433
2020-05,21885
2020-06,20020
2020-07,20372
2020-08,21954
2020-09,23524
2020-10,22150
2020-11,20256
2020-12,24003
2021-01,24648
2021-02,27662
2021-03,21373
2021-04,20627
2021-05,22502
2021-06,20678
2021-07,22395
2021-08,22119
2021-09,26516
2021-10,22822
2021-11,20341
2021-12,24968
2022-01,30134
2022-02,26131
2022-03,23920
2022-04,22055
2022-05,22198
2022-06,23374
2022-07,24239
2022-08,22725
2022-09,26455
2022-10,24049
2022-11,21351
2022-12,26613
2023-01,30521
2023-02,25513
2023-03,23463
2023-04,23968
2023-05,23938
2023-06,23458
2023-07,24938
2023-08,23230
2023-09,29160
2023-10,25815
2023-11,22430
2023-12,29012
2024-01,25994
2024-02,29885
2024-03,26058
2024-04,24253
2024-05,24935
2024-06,26177
2024-07,25175
2024-08,24856
2024-09,30832
2024-10,25752
2024-11,23853
2024-12,29203
2025-01,35324
2025-02,27087
2025-03,26982
2025-04,23992
2025-05,26642
2025-06,26977
2025-07,24941
2025-08,26162
2025-09,26271
2025-10,30257
2025-11,25814
2025-12,29105
