# 서울 아파트 실거래가(월) — KOSIS_APT_URL (지수/평균가는 URL에 따름)
month,seoul_apt_avg_price_100m
2006-01,58.46760249
2006-02,59.44975051
2006-03,60.9169587
2006-04,61.64010913
2006-05,61.86638153
2006-06,61.80756724
2006-07,62.24056697
2006-08,63.00609967
2006-09,64.26495976
2006-10,67.25692008
2006-11,70.1272226
2006-12,72.26022824
2007-01,73.21298935
2007-02,73.00333247
2007-03,73.55877472
2007-04,73.30516097
2007-05,72.53725782
2007-06,73.65704958
2007-07,74.26958095
2007-08,74.86484947
2007-09,75.20662043
2007-10,75.66573047
2007-11,75.6424431
2007-12,76.03841323
2008-01,77.11115054
2008-02,78.3825837
2008-03,80.53908668
2008-04,82.34462404
2008-05,83.37923626
2008-06,83.62591007
2008-07,82.76187527
2008-08,82.54940174
2008-09,80.66714962
2008-10,77.60586892
2008-11,72.68960591
2008-12,68.26444438
2009-01,71.05621224
2009-02,74.05686602
2009-03,75.04005556
2009-04,77.17981574
2009-05,78.71601609
2009-06,80.44400298
2009-07,81.96827049
2009-08,83.88670184
2009-09,84.67911943
2009-10,84.17953705
2009-11,83.02179279
2009-12,82.74066641
2010-01,83.80671603
2010-02,83.8878921
2010-03,83.13330165
2010-04,81.33772875
2010-05,79.98378192
2010-06,79.34081304
2010-07,78.19624656
2010-08,77.90269559
2010-09,78.34148053
2010-10,78.3912312
2010-11,79.19805018
2010-12,80.14965826
2011-01,81.20408322
2011-02,81.96404553
2011-03,81.69069711
2011-04,81.20072086
2011-05,80.61967881
2011-06,80.03219003
2011-07,80.05122245
2011-08,80.16440339
2011-09,80.01424517
2011-10,79.40197688
2011-11,78.60102805
2011-12,77.73427232
2012-01,77.99919051
2012-02,77.72821254
2012-03,77.08044784
2012-04,76.18827338
2012-05,75.78689612
2012-06,75.24604399
2012-07,74.2228549
2012-08,73.57236289
2012-09,73.16770199
2012-10,73.0435867
2012-11,72.76567539
2012-12,72.06280016
2013-01,72.46353448
2013-02,72.66365017
2013-03,73.36307202
2013-04,73.64995141
2013-05,73.87145755
2013-06,73.4377927
2013-07,73.33073414
2013-08,73.71132209
2013-09,74.23826503
2013-10,74.68494929
2013-11,74.48033668
2013-12,74.29688453
2014-01,75.00632001
2014-02,75.62058104
2014-03,76.00298618
2014-04,75.93952242
2014-05,75.6524807
2014-06,75.62701365
2014-07,75.70009087
2014-08,76.39453217
2014-09,77.09548561
2014-10,77.48794013
2014-11,77.42936964
2014-12,77.42745033
2015-01,77.89020194
2015-02,78.51031821
2015-03,79.38706104
2015-04,80.16965239
2015-05,80.84219296
2015-06,81.39064657
2015-07,82.44776519
2015-08,83.17595481
2015-09,83.85381474
2015-10,84.39045713
2015-11,84.74249079
2015-12,84.37852341
2016-01,84.27006689
2016-02,84.43955712
2016-03,84.45303856
2016-04,84.78802156
2016-05,85.49126286
2016-06,86.52141424
2016-07,87.91830068
2016-08,89.18138312
2016-09,90.37664331
2016-10,91.56414293
2016-11,91.77935964
2016-12,91.23832745
2017-01,90.96731771
2017-02,90.98160262
2017-03,91.68280906
2017-04,91.92919105
2017-05,93.35468408
2017-06,95.2592611
2017-07,97.71655925
2017-08,98.03647358
2017-09,98.24309953
2017-10,99.3545615
2017-11,100.0
2017-12,100.96035118
2018-01,103.07033355
2018-02,104.86639754
2018-03,106.20911304
2018-04,107.58330895
2018-05,108.13252886
2018-06,108.73225151
2018-07,110.39808409
2018-08,115.17031787
2018-09,121.7606641
2018-10,122.6307565
2018-11,120.81273857
2018-12,119.45701929
2019-01,118.14925935
2019-02,117.28741163
2019-03,116.31161632
2019-04,116.32171043
2019-05,117.39304998
2019-06,119.82482158
2019-07,122.39416271
2019-08,124.15251657
2019-09,125.53966584
2019-10,127.55769095
2019-11,129.9882667
2019-12,132.26189765
2020-01,133.4151894
2020-02,135.37861828
2020-03,136.43660002
2020-04,135.35337177
2020-05,135.9389962
2020-06,141.05337691
2020-07,148.26417324
2020-08,153.02232521
2020-09,155.14140159
2020-10,156.3857905
2020-11,159.3823778
2020-12,162.70956025
2021-01,167.90519517
2021-02,170.17315458
2021-03,171.15475135
2021-04,172.13477478
2021-05,175.75941071
2021-06,180.05788053
2021-07,184.01293183
2021-08,187.58836362
2021-09,190.44605957
2021-10,190.91856213
2021-11,188.04036766
2021-12,184.64887391
2022-01,183.84199169
2022-02,181.93501504
2022-03,184.75678556
2022-04,185.59002695
2022-05,183.45275536
2022-06,183.46593275
2022-07,176.48336184
2022-08,171.09716695
2022-09,166.42341889
2022-10,158.71739552
2022-11,150.21198909
2022-12,144.53784613
2023-01,145.87083884
2023-02,148.85190643
2023-03,150.99397748
2023-04,153.23532746
2023-05,154.98558267
2023-06,157.61378236
2023-07,159.29680688
2023-08,161.25384435
2023-09,162.81726065
2023-10,162.84773863
2023-11,160.44332475
2023-12,158.34793219
2024-01,158.86392455
2024-02,159.55071854
2024-03,159.70106822
2024-04,160.71807332
2024-05,161.86345492
2024-06,164.07194028
2024-07,167.54499217
2024-08,170.30064543
2024-09,170.84739528
2024-10,170.72374769
2024-11,170.55700901
2024-12,169.82967056
2025-01,169.6590778
2025-02,171.1407952
2025-03,173.4456917
2025-04,173.959742
2025-05,175.2672376
2025-06,179.0964586
2025-07,181.1150097
2025-08,180.7129005
2025-09,184.1319577
2025-10,187.1469827
2025-11,189.7305188
2025-12,190.3387408
2026-01,192.9610583
2026-02,196.5877179
2026-03,196.1751715
2026-04,196.3277082
